Topic,Count,Name,Representation,Representative_Docs
37,31,37_vetoes_veto_resolution_unsc,"['vetoes', 'veto', 'resolution', 'unsc', 'ceasefire', 'immediate', 'council', 'russia', 'calling', 'security']","['US vetoes UN Security Council resolution calling for immediate ceasefire in Gaza', 'Russia And China Veto US Resolution For Ceasefire In Gaza At UN Security Council', 'US again vetoes UNSC resolution calling for immediate Gaza ceasefire']"
38,31,38_icj_genocide_acts_ruling,"['icj', 'genocide', 'acts', 'ruling', 'prevent', 'orders', 'measures', 'rules', 'order', 'committed']","['Gaza War: ICJ Orders Israel To Prevent Genocidal Acts', 'ICJ orders Israel to take steps to prevent acts of genocide in Gaza Strip ', 'ICJ orders Israel to prevent acts of genocide, fails to order ceasefire ']"
39,31,39_ukraine_senate_house_aid,"['ukraine', 'senate', 'house', 'aid', '95', 'billion', 'republicans', 'passes', 'taiwan', 'speaker']","['Senate Passes $95 Billion Aid Bill For Ukraine And Israel In Bipartisan Vote', 'US House passes $95 billion Ukraine, Israel aid package, sends to Senate', 'US House Passes $95 Billion in Aid to Ukraine, Israel and Taiwan']"
40,30,40_drones_missiles_launches_drone,"['drones', 'missiles', 'launches', 'drone', 'iranian', 'iran', 'downplays', '99', 'isfahan', 'hit']","['#39;99% Interception Rate&#39;: Israel Shares Footage Of Its Defense System Countering Iranian Drones, Missiles | WATCH', ' Iran launches drones, missiles at Israel in retaliatory attack ', 'Iran launches drones, missiles at Israel in retaliatory attack']"
41,30,41_spain_recognise_norway_ireland,"['spain', 'recognise', 'norway', 'ireland', 'state', 'palestinian', 'recognising', 'recognize', 'recognises', 'recognition']","['Norway, Ireland, Spain to recognise Palestinian state', ' Spain, Ireland, Norway recognise Palestinian state ', 'Norway, Ireland, Spain to recognise Palestinian state ']"
42,29,42_children_unicef_child_boy,"['children', 'unicef', 'child', 'boy', 'dangerous', 'place', 'stabbed', 'related', 'old', 'year']","[' Over 13,000 children killed in Gaza: UNICEF ', ""UNICEF says Gaza world's `most dangerous place' for children"", 'Children of Gaza']"
43,29,43_shifa_al_hospital_director,"['shifa', 'al', 'hospital', 'director', 'icu', 'patients', 'raids', 'inside', 'arrests', 'troops']","['WHO to evacuate Gaza&#8217;s Al-Shifa hospital after bombardment by Israel', '`All ICU patients in al-Shifa dead amid Israeli siege,&#8217; Gaza hospital&#8217;s director tells Al Jazeera', 'Communications down in Gaza as Israel raids Al Shifa Hospital']"
44,28,44_aid_humanitarian_aslam_atif,"['aid', 'humanitarian', 'aslam', 'atif', 'donates', 'relief', 'help', '11will', 'rs15m', 'ocean']","['Atif Aslam donates Rs15m for war-hit Gaza', ' Atif Aslam donates Rs15 million for aid to Palestine ', '14:11Will the Arrival of Humanitarian Aid Bring Relief to the Palestinian and Gaza People? | Urban Debate']"
45,28,45_yemen_houthis_houthi_warship,"['yemen', 'houthis', 'houthi', 'warship', 'missiles', 'launched', 'rebels', 'launch', 'vow', 'shoots']","[""Yemen's Houthis Join Israel-Hamas War, Fire 'Large Number' Of Missiles And Drones Towards Israel: Report"", ""Yemen's Houthis say they seized Israeli vessel, Israel denies"", ""  Israel-Hamas Conflict: Yemen's Houthi rebels ""]"
46,28,46_christmas_bethlehem_eid_celebrations,"['christmas', 'bethlehem', 'eid', 'celebrations', 'jesus', 'pope', 'sombre', 'muted', 'festivities', 'celebrates']","['Bethlehem: No Christmas at Jesus birth place as Israel/Gaza war rages', 'Muted Christmas In Bethlehem As War Rages In Gaza (Photos)', 'Bethlehem: Gaza war mars Christmas festivities']"
